,ChannelName,Calibration,DecayTime
0,1-1,1.0,1000000000.0
1,1-2,1.0,1000000000.0
2,1-3,1.0,1000000000.0
3,1-4,1.0,1000000000.0
4,1-5,1.0,1000000000.0
5,1-6,1.0,1000000000.0
6,2-1,1.0,1000000000.0
7,2-2,1.0,1000000000.0
8,2-3,1.0,1000000000.0
9,2-4,1.0,1000000000.0
10,2-5,1.0,1000000000.0
11,2-6,1.0,1000000000.0
12,3-1,1.0,1000000000.0
13,3-2,1.0,1000000000.0
14,3-3,1.0,1000000000.0
15,3-4,1.0,1000000000.0
16,Y1/2,1.120876396800267,499.4419074149085
17,Y3/4,1.0898740486819853,525.8064416908267
18,Y5,1.075154213267078,496.20285948505744
19,Y7/8,1.1259833721820645,456.62421732688597
20,Y9/10,2.266810993386256,726.2533784475622
21,Y11/12,2.2287810439311575,1129.738166207816
22,Y13/14,2.3525958937427234,678.7839038245243
23,Y15/16,2.527138927593255,960.4567247489123
24,Y17/18,1.1107124168272493,497.46174306830204
25,Y19/20,1.102351371888832,503.37343650335
26,Y21/22,1.4084152878611913,569.6946072884023
27,Y23/24,1.112155016670216,465.43564035618516
28,Y25/26,2.2494261623647422,nan
29,Y27/28,1.2790949650528824,575.9515817803555
30,Y29/30,1.0862317381140125,520.8176777915033
31,Y6,2.2494261623647422,nan
32,X1/2,2.1613715784514302,528.0728169242191
33,X3/4,1.0936136797437774,593.3276040391121
34,X5/6,1.158542033767201,585.2427074365069
35,X7/8,1.0914747536936018,499.1170561035131
36,X9/10,1.157876558787234,486.3601971920793
37,X11/12,2.1751240923881223,674.938303307631
38,X13/14,2.4927991733457664,818.1144879897051
39,X15/16,2.4011061952109247,1033.2387588009456
40,X17/18,1.079856903684446,706.0576939512811
41,X19,2.2494261623647422,nan
42,X20,1.0,486.0260927673069
43,X21/22,1.1480801443794824,612.2398029279228
44,X23,1.0254774906303208,540.7645465347622
45,X25/26,1.2017939191358715,533.157668305605
46,X27/28,2.177503142137469,554.3889044617326
47,X29/30,1.0649878444418543,507.92354641318053
