,ChannelName,Calibration,DecayTime,RMS_keV,RMS_keV sigma
0,Y1/2,1.214727,5e+02,0,0
1,Y3/4,1.148464,5e+02,0,0
2,Y5,1.042070,5e+02,0,0
3,Y7/8,1.230698,5e+02,0,0
4,Y9/10,2.312536,5e+02,0,0
5,Y11/12,2.256255,5e+02,0,0
6,Y13/14,2.406298,5e+02,0,0
7,Y15/16,2.384971,5e+02,0,0
8,Y17/18,1.155691,5e+02,0,0
9,Y19/20,1.118931,5e+02,0,0
10,Y21/22,1.339767,5e+02,0,0
11,Y23/24,1.097226,5e+02,0,0
12,Y25/26,1.0,5e+02,0,0
13,Y27/28,1.324471,5e+02,0,0
14,Y29/30,1.197242,5e+02,0,0
15,Y6,1.0,5e+02,0,0
16,X1/2,2.332492,5e+02,0,0
17,X3/4,1.184457,5e+02,0,0
18,X5/6,1.289906,5e+02,0,0
19,X7/8,1.211221,5e+02,0,0
20,X9/10,1.167822,5e+02,0,0
21,X11/12,2.452535,5e+02,0,0
22,X13/14,2.680411,5e+02,0,0
23,X15/16,2.591161,5e+02,0,0
24,X17/18,1.159038,5e+02,0,0
25,X19,1.0,5e+02,0,0
26,X20,1.009196,5e+02,0,0
27,X21/22,1.236808,5e+02,0,0
28,X23,1.055733,5e+02,0,0
29,X25/26,1.194925,5e+02,0,0
30,X27/28,2.253030,5e+02,0,0
31,X29/30,1.169859,5e+02,0,0
32,1-4,1.0,1e+09,0,0
33,2-1,1.0,1e+09,0,0
34,2-6,1.0,1e+09,0,0
35,1-1,1.0,1e+09,0,0
36,1-2,1.0,1e+09,0,0
37,1-3,1.0,1e+09,0,0
38,1-5,1.0,1e+09,0,0
39,1-6,1.0,1e+09,0,0
40,2-2,1.0,1e+09,0,0
41,2-3,1.0,1e+09,0,0
42,2-4,1.0,1e+09,0,0
43,2-5,1.0,1e+09,0,0
